date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:49:52	1165/1165	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2017%20Dec%202019%2012:14:53%20GMT	https://frenify.net/robots.txt		(from )
18:49:54	137011/137011	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Aug%202022%2017:49:53%20GMT	https://frenify.net/envato/frenify/wp/resumo/2/	C:/Users/PC/Desktop/3d-portfolio/3d-2/frenify.net/envato/frenify/wp/resumo/2/index.html	(from )
18:49:54	88932/88932	---M-Z	200	added ('OK')	text/css	etag:%2215b64-62d7dd1e-f2ba1a502df19abd;gz%22	https://frenify.net/envato/frenify/wp/resumo/2/wp-includes/css/dist/block-library/style.min.css?ver=6.0.1	C:/Users/PC/Desktop/3d-portfolio/3d-2/frenify.net/envato/frenify/wp/resumo/2/wp-includes/css/dist/block-library/style.min37ad.css	(from https://frenify.net/envato/frenify/wp/resumo/2/)
18:49:54	2731/2731	---M-Z	200	added ('OK')	text/css	etag:%22aab-62d7e572-6bc4f94c7ac55b5a;gz%22	https://frenify.net/envato/frenify/wp/resumo/2/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.6.1	C:/Users/PC/Desktop/3d-portfolio/3d-2/frenify.net/envato/frenify/wp/resumo/2/wp-content/plugins/contact-form-7/includes/css/stylesd96d.css	(from https://frenify.net/envato/frenify/wp/resumo/2/)
18:49:55	19128/19128	---M-Z	200	added ('OK')	text/css	etag:%224ab8-62e7c3f7-97fbc86be5070674;gz%22	https://frenify.net/envato/frenify/wp/resumo/2/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.15.0	C:/Users/PC/Desktop/3d-portfolio/3d-2/frenify.net/envato/frenify/wp/resumo/2/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min7816.css	(from https://frenify.net/envato/frenify/wp/resumo/2/)
18:49:55	107993/107993	---M-Z	200	added ('OK')	text/css	etag:%221a5d9-62e7c3f7-2d4464a5342c9bcd;gz%22	https://frenify.net/envato/frenify/wp/resumo/2/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.6.8	C:/Users/PC/Desktop/3d-portfolio/3d-2/frenify.net/envato/frenify/wp/resumo/2/wp-content/plugins/elementor/assets/css/frontend-lite.mina4f3.css	(from https://frenify.net/envato/frenify/wp/resumo/2/)
18:49:55	1117/1117	---M-Z	200	added ('OK')	text/css	etag:%2245d-62e9e4dd-9a8f763bf2fb4565;gz%22	https://frenify.net/envato/frenify/wp/resumo/2/wp-content/uploads/elementor/css/post-7.css?ver=1659495645	C:/Users/PC/Desktop/3d-portfolio/3d-2/frenify.net/envato/frenify/wp/resumo/2/wp-content/uploads/elementor/css/post-7b300.css	(from https://frenify.net/envato/frenify/wp/resumo/2/)
18:49:56	1890/1890	---M-Z	200	added ('OK')	text/css	etag:%22762-62e7c03b-94e3af82d6019bcc;gz%22	https://frenify.net/envato/frenify/wp/resumo/2/wp-content/plugins/resumo-core/shortcode/assets/css/fontello.css?ver=1.0.1	C:/Users/PC/Desktop/3d-portfolio/3d-2/frenify.net/envato/frenify/wp/resumo/2/wp-content/plugins/resumo-core/shortcode/assets/css/fontellof269.css	(from https://frenify.net/envato/frenify/wp/resumo/2/)
18:49:56	45384/45384	---M-Z	200	added ('OK')	text/css	etag:%22b148-62e7c03b-3ba64b91f9ff7bb2;gz%22	https://frenify.net/envato/frenify/wp/resumo/2/wp-content/plugins/resumo-core/shortcode/assets/css/animate.css?ver=1.0.1	C:/Users/PC/Desktop/3d-portfolio/3d-2/frenify.net/envato/frenify/wp/resumo/2/wp-content/plugins/resumo-core/shortcode/assets/css/animatef269.css	(from https://frenify.net/envato/frenify/wp/resumo/2/)
18:49:56	3265/3265	---M-Z	200	added ('OK')	text/css	etag:%22cc1-62e7c03b-b1d9e2afa02e1b3f;gz%22	https://frenify.net/envato/frenify/wp/resumo/2/wp-content/plugins/resumo-core/shortcode/assets/css/owl-carousel.css?ver=1.0.1	C:/Users/PC/Desktop/3d-portfolio/3d-2/frenify.net/envato/frenify/wp/resumo/2/wp-content/plugins/resumo-core/shortcode/assets/css/owl-carouself269.css	(from https://frenify.net/envato/frenify/wp/resumo/2/)
